"category","name","imo","mmsi","sanctioned","sanctions","note"
"shadow_fleet","SOMA","","307060000","true","Australia, Canada, EU, New Zealand, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/546"
"shadow_fleet","SERENA","","629009448","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/553"
"shadow_fleet","TORERO M","","550071157","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/555"
"shadow_fleet","GARASAN","","655886000","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/556"
"shadow_fleet","FRUNZE","","518998343","true","Canada, EU, New Zealand, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/561"
"shadow_fleet","BLUE","","550071140","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/565"
"shadow_fleet","LEONA","","668116311","true","Canada, EU, New Zealand, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/586"
"shadow_fleet","CRIUS","","352002070","true","Australia, Canada, EU, New Zealand, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/595"
"shadow_fleet","UTAKI","","667002334","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/621"
"shadow_fleet","MOCHA","","629009582","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/635"
"shadow_fleet","NIKOLAY ZADORNOV","","629009620","true","Australia, Canada, EU, New Zealand, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/679"
"shadow_fleet","CORTEX","","620999137","true","Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/477"
"shadow_fleet","DASHAN","","620999986","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/491"
"shadow_fleet","KIRA K","","352002809","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/494"
"shadow_fleet","ASTRAL","","668116219","true","Australia, Canada, EU, New Zealand, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/498"
"shadow_fleet","SUNNY","","629009608","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/500"
"shadow_fleet","DALVA","","620800044","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/507"
"shadow_fleet","BENEDICT","","629009474","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/510"
"shadow_fleet","CECILA","","613412600","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/512"
"shadow_fleet","THRON","","620120256","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/514"
"shadow_fleet","STELLAR BEVERLY","","372839000","true","Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/527"
"shadow_fleet","NARCISSUS","","352002661","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/532"
"shadow_fleet","JALDHARA","","630001182","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/424"
"shadow_fleet","SPARK","","511101766","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/429"
